ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,Aircraft_Type_x,Aircraft_Type_y,STD_UTC_x,STD_UTC_y,Arrival_Station_x,Arrival_Station_y,Aircraft_Configuration_x,Aircraft_Configuration_y
784,1603216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
785,1603216216ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,73H,0800,0800,OGX,OGX,Y66                 ,F16Y132             
786,1603216217OGX,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1550,1510,ALG,ALG,Y66                 ,F16Y132             
787,1603216223HME,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,0630,0715,ALG,ALG,Y66                 ,F16Y85              
788,1603216252ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,0930,0910,ELU,ELU,F16Y85              ,Y66                 
789,1603216253ELU,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1120,1125,ALG,ALG,F16Y85              ,Y66                 
790,1603216454AZR,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,0700,0900,BMW,BMW,Y66                 ,F16Y86              
791,1603216455BMW,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1000,1110,AZR,AZR,Y66                 ,F16Y86              
792,1603216480OGX,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1030,1010,AZR,AZR,Y66                 ,F16Y132             
793,1603216481AZR,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1310,1240,OGX,OGX,Y66                 ,F16Y132             
794,1703216006ALG,,10FEB2109FEB22,,,73H,73H,1815,1735,AAE,AAE,F16Y132             ,F16Y132             
795,1703216100ALG,,10FEB2109FEB22,,,AT7,AT7,0700,0600,ORN,ORN,Y66                 ,Y66                 
796,1703216103ORN,,10FEB2109FEB22,,,AT7,AT7,1600,1625,ALG,ALG,Y66                 ,Y66                 
797,1703216107ORN,,10FEB2109FEB22,,,73H,73H,0700,0745,ALG,ALG,F16Y132             ,F16Y132             
798,1703216126ORN,,10FEB2109FEB22,,,AT7,AT7,0620,0700,EBH,EBH,Y66                 ,Y66                 
799,1703216127EBH,,10FEB2109FEB22,,,AT7,AT7,0810,0850,ORN,ORN,Y66                 ,Y66                 
800,1703216168ORN,,10FEB2109FEB22,,,73H,73H,1045,1145,CZL,CZL,F16Y132             ,F16Y132             
801,1703216169CZL,,10FEB2109FEB22,,,73H,73H,1315,1415,ORN,ORN,F16Y132             ,F16Y132             
802,1703216176ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,AT7,1400,1400,AAE,AAE,F16Y85              ,Y66                 
803,1703216177AAE,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1600,1605,ALG,ALG,F16Y85              ,Y66                 
804,1703216182ALG,,10FEB2109FEB22,,,736,736,1345,1400,ORN,ORN,F16Y85              ,F16Y85              
805,1703216183ORN,,10FEB2109FEB22,,,736,736,1545,1600,ALG,ALG,F16Y85              ,F16Y85              
806,1703216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1615,GHA,GHA,Y66                 ,Y66                 
807,1703216222ALG,,10FEB2109FEB22,,,AT7,AT7,1620,1550,HME,HME,Y66                 ,Y66                 
808,1703216252ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,AT7,0710,0710,ELU,ELU,F16Y85              ,Y66                 
809,1703216253ELU,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,0900,0925,ALG,ALG,F16Y85              ,Y66                 
810,1703216378ORN,,10FEB2109FEB22,,,AT7,AT7,1005,0800,TMX,TMX,Y66                 ,Y66                 
811,1703216379TMX,,10FEB2109FEB22,,,AT7,AT7,1300,1115,ORN,ORN,Y66                 ,Y66                 
812,1703216382HME,,10FEB2109FEB22,,,AT7,AT7,1740,1725,ORN,ORN,Y66                 ,Y66                 
813,1703216383ORN,,10FEB2109FEB22,,,AT7,AT7,1445,1430,HME,HME,Y66                 ,Y66                 
814,1703216388ORN,,10FEB2109FEB22,,,AT7,AT7,0905,1045,CBH,CBH,Y66                 ,Y66                 
815,1703216389CBH,,10FEB2109FEB22,,,AT7,AT7,1155,1335,ORN,ORN,Y66                 ,Y66                 
816,1803216027CZL,,10FEB2109FEB22,,,73H,73H,0720,0715,ALG,ALG,F16Y132             ,F16Y132             
817,1803216052ALG,,10FEB2109FEB22,,,AT7,AT7,1220,1450,BJA,BJA,Y66                 ,Y66                 
818,1803216053BJA,,10FEB2109FEB22,,,AT7,AT7,1355,1625,ALG,ALG,Y66                 ,Y66                 
819,1803216056ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,0925,1420,GJL,GJL,Y66                 ,F16Y85              
820,1803216057GJL,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1105,1610,ALG,ALG,Y66                 ,F16Y85              
821,1803216106ALG,,10FEB2109FEB22,,,73H,73H,1830,1800,ORN,ORN,F16Y132             ,F16Y132             
822,1803216107ORN,,10FEB2109FEB22,,,73H,73H,0645,0700,ALG,ALG,F16Y132             ,F16Y132             
823,1803216132ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,AT7,1000,1000,CBH,CBH,F16Y85              ,Y66                 
824,1803216133CBH,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1230,1305,ALG,ALG,F16Y85              ,Y66                 
825,1803216195CZL,,10FEB2109FEB22,,,736,736,1550,1600,ALG,ALG,F16Y85              ,F16Y85              
826,1803216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1530,GHA,GHA,Y66                 ,Y66                 
827,1803216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
828,1803216222ALG,,10FEB2109FEB22,,,AT7,AT7,1620,1550,HME,HME,Y66                 ,Y66                 
829,1803216223HME,,10FEB2109FEB22,,,AT7,AT7,0630,0700,ALG,ALG,Y66                 ,Y66                 
830,1803216312ALG,,,,10FEB2109FEB22,736,736,0700,0700,DJG,DJG,F16Y85              ,F16Y86              
831,1803216313DJG,,,,10FEB2109FEB22,736,736,1015,1015,OGX,OGX,F16Y85              ,F16Y86              
832,1803216313OGX,,,,10FEB2109FEB22,736,736,1245,1245,ALG,ALG,F16Y85              ,F16Y86              
833,1803216476ALG,,10FEB2109FEB22,,,AT7,AT7,1000,1040,EBH,EBH,Y66                 ,Y66                 
834,1803216477EBH,,10FEB2109FEB22,,,AT7,AT7,1200,1240,ALG,ALG,Y66                 ,Y66                 
835,1803216486VVZ,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1100,1100,DJG,DJG,F16Y132             ,F16Y86              
836,1803216486ALG,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,0805,0805,VVZ,VVZ,F16Y132             ,F16Y86              
837,1803216487DJG,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1245,1245,ALG,ALG,F16Y132             ,F16Y86              
838,1903216007AAE,,10FEB2109FEB22,,,73H,73H,0715,0745,ALG,ALG,F16Y132             ,F16Y132             
839,1903216106ALG,,10FEB2109FEB22,,,73H,73H,1845,1830,ORN,ORN,F16Y132             ,F16Y132             
840,1903216118ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,0930,0930,TLM,TLM,F16Y85              ,F16Y132             
841,1903216119TLM,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1130,1130,ALG,ALG,F16Y85              ,F16Y132             
842,1903216146ALG,,10FEB2109FEB22,,,73H,73H,1000,0930,TIN,TIN,F16Y132             ,F16Y132             
843,1903216147TIN,,10FEB2109FEB22,,,73H,73H,1320,1250,ALG,ALG,F16Y132             ,F16Y132             
844,1903216184ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1400,1400,ORN,ORN,F16Y85              ,F16Y132             
845,1903216185ORN,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1600,1600,ALG,ALG,F16Y85              ,F16Y132             
846,1903216192ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1350,1350,CZL,CZL,F16Y85              ,F16Y132             
847,1903216193CZL,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1540,1540,ALG,ALG,F16Y85              ,F16Y132             
848,1903216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1530,GHA,GHA,Y66                 ,Y66                 
849,1903216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
850,1903216222ALG,,10FEB2109FEB22,,,AT7,AT7,1620,1550,HME,HME,Y66                 ,Y66                 
851,1903216223HME,,10FEB2109FEB22,,,AT7,AT7,0630,0700,ALG,ALG,Y66                 ,Y66                 
852,1903216232ALG,,,,10FEB2109FEB22,73H,73H,0730,0730,TMR,TMR,F16Y86              ,F16Y132             
853,1903216232DJG,,,,10FEB2109FEB22,73H,73H,1245,1245,ALG,ALG,F16Y86              ,F16Y132             
854,1903216232TMR,,,,10FEB2109FEB22,73H,73H,1055,1055,DJG,DJG,F16Y86              ,F16Y132             
855,1903216245IAM,,10FEB2109FEB22,,,AT7,AT7,1535,1455,ALG,ALG,Y66                 ,Y66                 
856,1903216252ALG,10FEB2109FEB22,,,10FEB2109FEB22,73H,AT7,1300,1300,ELU,ELU,F16Y132             ,Y66                 
857,1903216253ELU,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,73H,AT7,1500,1515,ALG,ALG,F16Y132             ,Y66                 
858,1903216318ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1030,0900,ELG,ELG,Y66                 ,F16Y85              
859,1903216319OGX,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1500,1330,ALG,ALG,Y66                 ,F16Y85              
860,1903216319ELG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1245,1115,OGX,OGX,Y66                 ,F16Y85              
861,1903216378ORN,,10FEB2109FEB22,,,AT7,AT7,0700,0900,TMX,TMX,Y66                 ,Y66                 
862,1903216379TMX,,10FEB2109FEB22,,,AT7,AT7,1015,1215,ORN,ORN,Y66                 ,Y66                 
863,1903216382HME,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1625,1650,ORN,ORN,Y66                 ,F16Y132             
864,1903216383ORN,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1330,1420,HME,HME,Y66                 ,F16Y132             
865,2003216028ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,73H,0910,0910,CZL,CZL,Y66                 ,F16Y132             
866,2003216042ALG,,10FEB2109FEB22,,,736,736,0950,1400,BSK,BSK,F16Y85              ,F16Y85              
867,2003216043BSK,,10FEB2109FEB22,,,736,736,1140,1550,ALG,ALG,F16Y85              ,F16Y85              
868,2003216056ALG,,10FEB2109FEB22,,,736,736,1350,1400,GJL,GJL,F16Y85              ,F16Y85              
869,2003216057GJL,,10FEB2109FEB22,,,736,736,1545,1550,ALG,ALG,F16Y85              ,F16Y85              
870,2003216107ORN,,10FEB2109FEB22,,,73H,73H,0700,0745,ALG,ALG,F16Y132             ,F16Y132             
871,2003216132ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,AT7,0900,0900,CBH,CBH,F16Y85              ,Y66                 
872,2003216133CBH,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1130,1205,ALG,ALG,F16Y85              ,Y66                 
873,2003216142ALG,,10FEB2109FEB22,,,736,736,0920,1000,AZR,AZR,F16Y86              ,F16Y86              
874,2003216143AZR,,10FEB2109FEB22,,,736,736,1210,1250,ALG,ALG,F16Y86              ,F16Y86              
875,2003216164AAE,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,73H,AT7,1435,1500,ORN,ORN,F16Y132             ,Y66                 
876,2003216165ORN,10FEB2109FEB22,,,10FEB2109FEB22,73H,AT7,1220,1220,AAE,AAE,F16Y132             ,Y66                 
877,2003216180ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,736,0730,0730,ORN,ORN,Y66                 ,F16Y85              
878,2003216181ORN,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,0935,0930,ALG,ALG,Y66                 ,F16Y85              
879,2003216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1530,GHA,GHA,Y66                 ,Y66                 
880,2003216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
881,2003216216ALG,,10FEB2109FEB22,,,AT7,AT7,1130,1110,OGX,OGX,Y66                 ,Y66                 
882,2003216217OGX,,10FEB2109FEB22,,,AT7,AT7,1400,1340,ALG,ALG,Y66                 ,Y66                 
883,2003216222ALG,,10FEB2109FEB22,,,AT7,AT7,1610,1550,HME,HME,Y66                 ,Y66                 
884,2003216223HME,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
885,2003216228ALG,,10FEB2109FEB22,,,AT7,AT7,1130,1110,HME,HME,Y66                 ,Y66                 
886,2003216229HME,,10FEB2109FEB22,,,AT7,AT7,1400,1340,ALG,ALG,Y66                 ,Y66                 
887,2003216252ALG,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,0945,0935,ELU,ELU,F16Y85              ,Y66                 
888,2003216253ELU,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1145,1150,ALG,ALG,F16Y85              ,Y66                 
889,2003216292ALG,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,0905,0905,DJG,DJG,F16Y132             ,F16Y86              
890,2003216292TMR,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1410,1410,ALG,ALG,F16Y132             ,F16Y86              
891,2003216292DJG,10FEB2109FEB22,,,10FEB2109FEB22,73H,736,1220,1220,TMR,TMR,F16Y132             ,F16Y86              
892,2003216346CZL,,10FEB2109FEB22,,,73H,73H,1055,0805,CBH,CBH,F16Y132             ,F16Y132             
893,2003216347CBH,,10FEB2109FEB22,,,73H,73H,1325,1040,CZL,CZL,F16Y132             ,F16Y132             
894,2003216348CZL,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1105,1100,OGX,OGX,Y66                 ,F16Y132             
895,2003216349OGX,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1315,1250,ALG,ALG,Y66                 ,F16Y132             
896,2003216380ORN,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1320,0700,GHA,GHA,Y66                 ,F16Y132             
897,2003216381GHA,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,73H,1540,0910,ORN,ORN,Y66                 ,F16Y132             
