KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0103216339OGX,,01MAR2128FEB22,3, ,AH,6339,01,01,J,01MAR21,31MAY21,1, , , , , , ,OGX,1710,1710,+,0100,CZL,1810,1810,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216340CZL,,01MAR2128FEB22,3, ,AH,6340,01,01,J,01MAR21,31MAY21,1, , , , , , ,CZL,0800,0800,+,0100,TIN,1055,1055,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216341TIN,,01MAR2128FEB22,3, ,AH,6341,01,01,J,01MAR21,31MAY21,1, , , , , , ,TIN,1150,1150,+,0100,CZL,1410,1410,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216384ORN,,01MAR2128FEB22,3, ,AH,6384,01,01,J,01MAR21,01MAR21,1, , , , , , ,ORN,0920,0920,+,0100,AZR,1045,1045,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216385AZR,,01MAR2128FEB22,3, ,AH,6385,01,01,J,01MAR21,01MAR21,1, , , , , , ,AZR,1145,1145,+,0100,ORN,1315,1315,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216388ORN,,01MAR2128FEB22,3, ,AH,6388,01,01,J,01MAR21,31MAY21,1, , , , , , ,ORN,1230,1230,+,0100,CBH,1410,1410,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216389CBH,,01MAR2128FEB22,3, ,AH,6389,01,01,J,01MAR21,31MAY21,1, , , , , , ,CBH,1135,1135,+,0100,ORN,1225,1225,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216454AZR,CANCELED,01MAR2128FEB22,3, ,AH,6454,01,01,J,01MAR21,31MAY21,1, , , , , , ,AZR,0725,0725,+,0100,BMW,0935,0935,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216455BMW,CANCELED,01MAR2128FEB22,3, ,AH,6455,01,01,J,01MAR21,31MAY21,1, , , , , , ,BMW,1025,1025,+,0100,AZR,1230,1230,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0104213060CTU,,01MAR2128FEB22,3, ,AH,3060,02,01,J,04MAR21,15APR21, , , ,4, , , ,CTU,1710,1710,+,0800,PEK,2010,2010,+,0800,332,       ,F18C14Y219          ,2021-04-01,2021-04-01,,,,4.0,,,,
