STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,KEY_FLT
,02MAR2101MAR22,3, ,AH,6253,03,01,J,04MAR21,27MAY21, , , ,4, , , ,ELU,1510,1510,+,0100,ALG,1640,1640,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216253ELU
,02MAR2101MAR22,3, ,AH,6254,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ORN,1220,1220,+,0100,ELU,1420,1420,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216254ORN
,02MAR2101MAR22,3, ,AH,6255,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ELU,0925,0925,+,0100,ORN,1130,1130,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216255ELU
,02MAR2101MAR22,3, ,AH,6266,01,01,J,04MAR21,28MAY21, , , ,4,5, , ,ALG,0930,0930,+,0100,TGR,1055,1055,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216266ALG
,02MAR2101MAR22,3, ,AH,6267,01,01,J,04MAR21,28MAY21, , , ,4,5, , ,TGR,1145,1145,+,0100,ALG,1310,1310,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216267TGR
,02MAR2101MAR22,3, ,AH,6310,02,02,J,25MAR21,27MAY21, , , ,4, , , ,OGX,0910,0910,+,0100,DJG,1040,1040,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,0104216310OGX
,02MAR2101MAR22,3, ,AH,6310,02,01,J,25MAR21,27MAY21, , , ,4, , , ,ALG,0700,0700,+,0100,OGX,0810,0810,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,0104216310ALG
,02MAR2101MAR22,3, ,AH,6311,02,01,J,25MAR21,27MAY21, , , ,4, , , ,DJG,1140,1140,+,0100,ALG,1355,1355,+,0100,736,       ,F16Y85              ,2021-04-01,2021-04-01,,,,4.0,0104216311DJG
,02MAR2101MAR22,3, ,AH,6340,03,01,J,11MAR21,27MAY21, , , ,4, , , ,CZL,0700,0700,+,0100,TIN,0955,0955,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216340CZL
,02MAR2101MAR22,3, ,AH,6341,03,01,J,11MAR21,27MAY21, , , ,4, , , ,TIN,1050,1050,+,0100,CZL,1315,1315,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216341TIN
